
customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,False,True,False,1,False,,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False
5575-GNVDE,Male,False,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.950000762939453,1889.5,False
3668-QPYBK,Male,False,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.849998474121094,108.15000152587891,True
7795-CFOCW,Male,False,False,False,45,False,,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.299999237060547,1840.75,False
9237-HQITU,Female,False,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.699996948242188,151.64999389648438,True
9305-CDSKC,Female,False,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.650001525878906,820.5,True
1452-KIOVK,Male,False,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.099998474121094,1949.4000244140625,False
6713-OKOMC,Female,False,False,False,10,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.89999389648438,False
7892-POOKP,Female,False,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.80000305175781,3046.050048828125,True
6388-TABGU,Male,False,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False
9763-GRSKD,Male,False,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.950000762939453,587.45001220703125,False
7469-LKBCI,Male,False,False,False,16,True,False,No,,,,,,,Two year,False,Credit card (automatic),18.950000762939453,326.79998779296875,False
8091-TTVAX,Male,False,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.34999847412109,5681.10009765625,False
